#    L    TT             TE             EE             BB             PP
    94    0.25145E+04   -0.19146E+02    0.68384E+00    0.29774E-02    0.11006E-06
    95    0.25444E+04   -0.19793E+02    0.69922E+00    0.30416E-02    0.10938E-06
    96    0.25742E+04   -0.20444E+02    0.71453E+00    0.31066E-02    0.10871E-06
    97    0.26045E+04   -0.21097E+02    0.72974E+00    0.31724E-02    0.10805E-06
    98    0.26351E+04   -0.21751E+02    0.74486E+00    0.32388E-02    0.10739E-06
    99    0.26657E+04   -0.22409E+02    0.75984E+00    0.33061E-02    0.10673E-06
   100    0.26966E+04   -0.23066E+02    0.77469E+00    0.33741E-02    0.10607E-06
   101    0.27276E+04   -0.23725E+02    0.78946E+00    0.34428E-02    0.10542E-06
   102    0.27592E+04   -0.24384E+02    0.80401E+00    0.35123E-02    0.10477E-06
   103    0.27907E+04   -0.25044E+02    0.81841E+00    0.35826E-02    0.10412E-06
   104    0.28224E+04   -0.25702E+02    0.83266E+00    0.36537E-02    0.10348E-06
   105    0.28543E+04   -0.26359E+02    0.84668E+00    0.37255E-02    0.10284E-06
   106    0.28864E+04   -0.27015E+02    0.86056E+00    0.37981E-02    0.10221E-06
   107    0.29184E+04   -0.27668E+02    0.87414E+00    0.38715E-02    0.10158E-06
   108    0.29508E+04   -0.28319E+02    0.88749E+00    0.39456E-02    0.10096E-06
   109    0.29834E+04   -0.28966E+02    0.90055E+00    0.40206E-02    0.10033E-06
   110    0.30161E+04   -0.29609E+02    0.91332E+00    0.40963E-02    0.99718E-07
   111    0.30489E+04   -0.30248E+02    0.92585E+00    0.41729E-02    0.99105E-07
   112    0.30818E+04   -0.30882E+02    0.93810E+00    0.42502E-02    0.98497E-07
   113    0.31151E+04   -0.31511E+02    0.95004E+00    0.43284E-02    0.97892E-07
   114    0.31483E+04   -0.32134E+02    0.96161E+00    0.44074E-02    0.97292E-07
   115    0.31818E+04   -0.32749E+02    0.97296E+00    0.44872E-02    0.96697E-07
   116    0.32154E+04   -0.33358E+02    0.98386E+00    0.45678E-02    0.96105E-07
   117    0.32492E+04   -0.33958E+02    0.99438E+00    0.46492E-02    0.95518E-07
   118    0.32832E+04   -0.34551E+02    0.10047E+01    0.47314E-02    0.94935E-07
   119    0.33172E+04   -0.35134E+02    0.10146E+01    0.48145E-02    0.94356E-07
   120    0.33513E+04   -0.35707E+02    0.10240E+01    0.48985E-02    0.93782E-07
   121    0.33854E+04   -0.36271E+02    0.10332E+01    0.49833E-02    0.93212E-07
   122    0.34197E+04   -0.36823E+02    0.10418E+01    0.50689E-02    0.92646E-07
   123    0.34540E+04   -0.37366E+02    0.10500E+01    0.51554E-02    0.92084E-07
   124    0.34883E+04   -0.37894E+02    0.10579E+01    0.52427E-02    0.91527E-07
   125    0.35227E+04   -0.38411E+02    0.10653E+01    0.53310E-02    0.90973E-07
   126    0.35572E+04   -0.38916E+02    0.10723E+01    0.54201E-02    0.90424E-07
   127    0.35916E+04   -0.39408E+02    0.10787E+01    0.55100E-02    0.89880E-07
   128    0.36261E+04   -0.39886E+02    0.10848E+01    0.56009E-02    0.89339E-07
   129    0.36606E+04   -0.40349E+02    0.10904E+01    0.56927E-02    0.88803E-07
   130    0.36952E+04   -0.40797E+02    0.10955E+01    0.57853E-02    0.88271E-07
   131    0.37297E+04   -0.41231E+02    0.11001E+01    0.58789E-02    0.87743E-07
   132    0.37643E+04   -0.41649E+02    0.11043E+01    0.59734E-02    0.87219E-07
   133    0.37989E+04   -0.42051E+02    0.11080E+01    0.60688E-02    0.86700E-07
   134    0.38334E+04   -0.42434E+02    0.11112E+01    0.61651E-02    0.86184E-07
   135    0.38679E+04   -0.42802E+02    0.11139E+01    0.62624E-02    0.85673E-07
   136    0.39023E+04   -0.43149E+02    0.11161E+01    0.63606E-02    0.85166E-07
   137    0.39367E+04   -0.43479E+02    0.11178E+01    0.64598E-02    0.84663E-07
   138    0.39711E+04   -0.43790E+02    0.11190E+01    0.65599E-02    0.84164E-07
   139    0.40052E+04   -0.44082E+02    0.11199E+01    0.66610E-02    0.83669E-07
   140    0.40393E+04   -0.44354E+02    0.11201E+01    0.67631E-02    0.83178E-07
   141    0.40733E+04   -0.44605E+02    0.11198E+01    0.68662E-02    0.82691E-07
   142    0.41073E+04   -0.44836E+02    0.11191E+01    0.69702E-02    0.82208E-07
   143    0.41412E+04   -0.45047E+02    0.11179E+01    0.70752E-02    0.81729E-07
   144    0.41748E+04   -0.45236E+02    0.11162E+01    0.71813E-02    0.81254E-07
   145    0.42084E+04   -0.45403E+02    0.11141E+01    0.72883E-02    0.80782E-07
   146    0.42420E+04   -0.45549E+02    0.11114E+01    0.73964E-02    0.80314E-07
   147    0.42752E+04   -0.45672E+02    0.11083E+01    0.75055E-02    0.79850E-07
   148    0.43083E+04   -0.45772E+02    0.11047E+01    0.76156E-02    0.79390E-07
   149    0.43414E+04   -0.45850E+02    0.11007E+01    0.77268E-02    0.78934E-07
   150    0.43741E+04   -0.45902E+02    0.10963E+01    0.78390E-02    0.78481E-07
   151    0.44067E+04   -0.45931E+02    0.10914E+01    0.79522E-02    0.78032E-07
   152    0.44390E+04   -0.45937E+02    0.10860E+01    0.80665E-02    0.77587E-07
   153    0.44712E+04   -0.45917E+02    0.10803E+01    0.81819E-02    0.77145E-07
   154    0.45032E+04   -0.45872E+02    0.10741E+01    0.82983E-02    0.76707E-07
   155    0.45349E+04   -0.45803E+02    0.10676E+01    0.84158E-02    0.76272E-07
   156    0.45662E+04   -0.45709E+02    0.10607E+01    0.85344E-02    0.75841E-07
   157    0.45975E+04   -0.45589E+02    0.10535E+01    0.86540E-02    0.75414E-07
   158    0.46285E+04   -0.45443E+02    0.10459E+01    0.87747E-02    0.74990E-07
   159    0.46592E+04   -0.45272E+02    0.10379E+01    0.88965E-02    0.74569E-07
   160    0.46896E+04   -0.45073E+02    0.10296E+01    0.90194E-02    0.74152E-07
   161    0.47198E+04   -0.44849E+02    0.10211E+01    0.91433E-02    0.73738E-07
   162    0.47497E+04   -0.44600E+02    0.10122E+01    0.92684E-02    0.73328E-07
   163    0.47795E+04   -0.44323E+02    0.10030E+01    0.93945E-02    0.72921E-07
   164    0.48088E+04   -0.44021E+02    0.99360E+00    0.95217E-02    0.72518E-07
   165    0.48379E+04   -0.43691E+02    0.98389E+00    0.96500E-02    0.72118E-07
   166    0.48667E+04   -0.43334E+02    0.97404E+00    0.97794E-02    0.71721E-07
   167    0.48953E+04   -0.42952E+02    0.96381E+00    0.99098E-02    0.71327E-07
   168    0.49234E+04   -0.42542E+02    0.95359E+00    0.10041E-01    0.70937E-07
   169    0.49512E+04   -0.42104E+02    0.94307E+00    0.10174E-01    0.70550E-07
   170    0.49787E+04   -0.41639E+02    0.93248E+00    0.10308E-01    0.70166E-07
   171    0.50057E+04   -0.41146E+02    0.92181E+00    0.10442E-01    0.69786E-07
   172    0.50323E+04   -0.40625E+02    0.91101E+00    0.10578E-01    0.69408E-07
   173    0.50585E+04   -0.40077E+02    0.90005E+00    0.10715E-01    0.69034E-07
   174    0.50843E+04   -0.39502E+02    0.88925E+00    0.10853E-01    0.68663E-07
   175    0.51097E+04   -0.38898E+02    0.87831E+00    0.10992E-01    0.68295E-07
   176    0.51346E+04   -0.38267E+02    0.86744E+00    0.11132E-01    0.67930E-07
   177    0.51591E+04   -0.37609E+02    0.85658E+00    0.11273E-01    0.67568E-07
   178    0.51831E+04   -0.36923E+02    0.84594E+00    0.11416E-01    0.67209E-07
   179    0.52067E+04   -0.36209E+02    0.83524E+00    0.11559E-01    0.66854E-07
   180    0.52299E+04   -0.35468E+02    0.82469E+00    0.11703E-01    0.66501E-07
   181    0.52525E+04   -0.34701E+02    0.81429E+00    0.11848E-01    0.66151E-07
   182    0.52747E+04   -0.33906E+02    0.80413E+00    0.11994E-01    0.65804E-07
   183    0.52964E+04   -0.33084E+02    0.79412E+00    0.12142E-01    0.65460E-07
   184    0.53177E+04   -0.32236E+02    0.78434E+00    0.12290E-01    0.65118E-07
   185    0.53385E+04   -0.31362E+02    0.77494E+00    0.12439E-01    0.64780E-07
   186    0.53584E+04   -0.30460E+02    0.76578E+00    0.12589E-01    0.64444E-07
   187    0.53782E+04   -0.29532E+02    0.75700E+00    0.12740E-01    0.64111E-07
   188    0.53974E+04   -0.28578E+02    0.74859E+00    0.12893E-01    0.63781E-07
   189    0.54161E+04   -0.27599E+02    0.74058E+00    0.13046E-01    0.63453E-07
   190    0.54345E+04   -0.26595E+02    0.73303E+00    0.13200E-01    0.63129E-07
   191    0.54521E+04   -0.25564E+02    0.72595E+00    0.13355E-01    0.62806E-07
   192    0.54693E+04   -0.24508E+02    0.71937E+00    0.13510E-01    0.62487E-07
   193    0.54858E+04   -0.23428E+02    0.71335E+00    0.13667E-01    0.62170E-07
   194    0.55020E+04   -0.22323E+02    0.70789E+00    0.13825E-01    0.61855E-07
   195    0.55176E+04   -0.21195E+02    0.70305E+00    0.13983E-01    0.61544E-07
   196    0.55325E+04   -0.20042E+02    0.69886E+00    0.14143E-01    0.61234E-07
   197    0.55470E+04   -0.18867E+02    0.69537E+00    0.14303E-01    0.60927E-07
   198    0.55610E+04   -0.17669E+02    0.69260E+00    0.14464E-01    0.60623E-07
   199    0.55744E+04   -0.16448E+02    0.69058E+00    0.14626E-01    0.60321E-07
   200    0.55873E+04   -0.15205E+02    0.68935E+00    0.14789E-01    0.60021E-07
   201    0.55996E+04   -0.13939E+02    0.68896E+00    0.14952E-01    0.59724E-07
   202    0.56114E+04   -0.12653E+02    0.68943E+00    0.15117E-01    0.59429E-07
   203    0.56225E+04   -0.11344E+02    0.69080E+00    0.15282E-01    0.59136E-07
   204    0.56330E+04   -0.10017E+02    0.69312E+00    0.15448E-01    0.58846E-07
   205    0.56430E+04   -0.86686E+01    0.69641E+00    0.15615E-01    0.58558E-07
   206    0.56522E+04   -0.73006E+01    0.70073E+00    0.15782E-01    0.58272E-07
   207    0.56610E+04   -0.59133E+01    0.70608E+00    0.15951E-01    0.57988E-07
   208    0.56690E+04   -0.45072E+01    0.71253E+00    0.16120E-01    0.57707E-07
   209    0.56763E+04   -0.30827E+01    0.72009E+00    0.16289E-01    0.57428E-07
   210    0.56831E+04   -0.16407E+01    0.72883E+00    0.16460E-01    0.57151E-07
   211    0.56893E+04   -0.18133E+00    0.73875E+00    0.16631E-01    0.56876E-07
   212    0.56947E+04    0.12945E+01    0.74991E+00    0.16803E-01    0.56603E-07
   213    0.56996E+04    0.27868E+01    0.76234E+00    0.16975E-01    0.56332E-07
   214    0.57038E+04    0.42944E+01    0.77604E+00    0.17148E-01    0.56064E-07
   215    0.57074E+04    0.58165E+01    0.79119E+00    0.17322E-01    0.55798E-07
   216    0.57104E+04    0.73537E+01    0.80762E+00    0.17496E-01    0.55533E-07
   217    0.57128E+04    0.89038E+01    0.82548E+00    0.17671E-01    0.55271E-07
   218    0.57145E+04    0.10467E+02    0.84476E+00    0.17847E-01    0.55011E-07
   219    0.57156E+04    0.12045E+02    0.86548E+00    0.18023E-01    0.54753E-07
   220    0.57161E+04    0.13632E+02    0.88778E+00    0.18199E-01    0.54496E-07
   221    0.57160E+04    0.15231E+02    0.91158E+00    0.18377E-01    0.54242E-07
   222    0.57153E+04    0.16841E+02    0.93703E+00    0.18554E-01    0.53990E-07
   223    0.57139E+04    0.18462E+02    0.96407E+00    0.18732E-01    0.53739E-07
   224    0.57120E+04    0.20090E+02    0.99268E+00    0.18911E-01    0.53491E-07
   225    0.57094E+04    0.21728E+02    0.10230E+01    0.19090E-01    0.53244E-07
   226    0.57062E+04    0.23374E+02    0.10551E+01    0.19270E-01    0.53000E-07
   227    0.57024E+04    0.25027E+02    0.10889E+01    0.19450E-01    0.52757E-07
   228    0.56980E+04    0.26687E+02    0.11244E+01    0.19630E-01    0.52516E-07
   229    0.56930E+04    0.28352E+02    0.11617E+01    0.19811E-01    0.52276E-07
   230    0.56873E+04    0.30023E+02    0.12009E+01    0.19992E-01    0.52039E-07
   231    0.56810E+04    0.31700E+02    0.12419E+01    0.20174E-01    0.51803E-07
   232    0.56741E+04    0.33379E+02    0.12847E+01    0.20356E-01    0.51569E-07
   233    0.56666E+04    0.35061E+02    0.13295E+01    0.20538E-01    0.51337E-07
   234    0.56584E+04    0.36746E+02    0.13763E+01    0.20721E-01    0.51107E-07
   235    0.56496E+04    0.38433E+02    0.14249E+01    0.20903E-01    0.50878E-07
   236    0.56402E+04    0.40120E+02    0.14756E+01    0.21086E-01    0.50651E-07
   237    0.56301E+04    0.41808E+02    0.15282E+01    0.21269E-01    0.50426E-07
   238    0.56195E+04    0.43495E+02    0.15829E+01    0.21453E-01    0.50202E-07
   239    0.56083E+04    0.45182E+02    0.16396E+01    0.21636E-01    0.49980E-07
   240    0.55964E+04    0.46865E+02    0.16984E+01    0.21820E-01    0.49760E-07
   241    0.55840E+04    0.48546E+02    0.17593E+01    0.22004E-01    0.49541E-07
   242    0.55710E+04    0.50224E+02    0.18222E+01    0.22188E-01    0.49323E-07
   243    0.55574E+04    0.51897E+02    0.18873E+01    0.22372E-01    0.49108E-07
   244    0.55432E+04    0.53566E+02    0.19545E+01    0.22556E-01    0.48893E-07
   245    0.55284E+04    0.55229E+02    0.20239E+01    0.22740E-01    0.48681E-07
   246    0.55131E+04    0.56886E+02    0.20955E+01    0.22924E-01    0.48469E-07
   247    0.54973E+04    0.58535E+02    0.21691E+01    0.23108E-01    0.48260E-07
   248    0.54808E+04    0.60177E+02    0.22452E+01    0.23292E-01    0.48051E-07
   249    0.54639E+04    0.61811E+02    0.23233E+01    0.23476E-01    0.47844E-07
   250    0.54464E+04    0.63434E+02    0.24038E+01    0.23660E-01    0.47639E-07
   251    0.54284E+04    0.65049E+02    0.24864E+01    0.23844E-01    0.47435E-07
   252    0.54098E+04    0.66653E+02    0.25713E+01    0.24028E-01    0.47232E-07
   253    0.53908E+04    0.68244E+02    0.26583E+01    0.24211E-01    0.47031E-07
   254    0.53713E+04    0.69824E+02    0.27477E+01    0.24395E-01    0.46831E-07
   255    0.53512E+04    0.71391E+02    0.28392E+01    0.24578E-01    0.46632E-07
   256    0.53307E+04    0.72947E+02    0.29331E+01    0.24761E-01    0.46435E-07
   257    0.53097E+04    0.74482E+02    0.30291E+01    0.24944E-01    0.46239E-07
   258    0.52882E+04    0.76009E+02    0.31275E+01    0.25126E-01    0.46045E-07
   259    0.52662E+04    0.77514E+02    0.32281E+01    0.25308E-01    0.45852E-07
   260    0.52439E+04    0.79011E+02    0.33310E+01    0.25490E-01    0.45660E-07
   261    0.52210E+04    0.80478E+02    0.34360E+01    0.25672E-01    0.45469E-07
   262    0.51976E+04    0.81937E+02    0.35435E+01    0.25853E-01    0.45280E-07
   263    0.51741E+04    0.83381E+02    0.36531E+01    0.26034E-01    0.45092E-07
   264    0.51499E+04    0.84803E+02    0.37649E+01    0.26215E-01    0.44905E-07
   265    0.51253E+04    0.86194E+02    0.38789E+01    0.26395E-01    0.44719E-07
   266    0.51003E+04    0.87578E+02    0.39953E+01    0.26574E-01    0.44535E-07
   267    0.50748E+04    0.88932E+02    0.41137E+01    0.26754E-01    0.44352E-07
   268    0.50489E+04    0.90270E+02    0.42345E+01    0.26933E-01    0.44170E-07
   269    0.50225E+04    0.91586E+02    0.43574E+01    0.27111E-01    0.43989E-07
   270    0.49959E+04    0.92879E+02    0.44824E+01    0.27289E-01    0.43810E-07
   271    0.49688E+04    0.94150E+02    0.46096E+01    0.27467E-01    0.43631E-07
   272    0.49415E+04    0.95390E+02    0.47391E+01    0.27644E-01    0.43454E-07
   273    0.49138E+04    0.96616E+02    0.48704E+01    0.27820E-01    0.43278E-07
   274    0.48857E+04    0.97804E+02    0.50041E+01    0.27996E-01    0.43103E-07
   275    0.48573E+04    0.98976E+02    0.51396E+01    0.28172E-01    0.42930E-07
   276    0.48286E+04    0.10011E+03    0.52773E+01    0.28347E-01    0.42757E-07
   277    0.47995E+04    0.10123E+03    0.54170E+01    0.28521E-01    0.42586E-07
   278    0.47702E+04    0.10231E+03    0.55587E+01    0.28695E-01    0.42415E-07
   279    0.47406E+04    0.10337E+03    0.57024E+01    0.28868E-01    0.42246E-07
   280    0.47106E+04    0.10440E+03    0.58480E+01    0.29041E-01    0.42078E-07
   281    0.46806E+04    0.10540E+03    0.59956E+01    0.29213E-01    0.41911E-07
   282    0.46500E+04    0.10637E+03    0.61450E+01    0.29384E-01    0.41745E-07
   283    0.46194E+04    0.10731E+03    0.62962E+01    0.29555E-01    0.41580E-07
   284    0.45885E+04    0.10822E+03    0.64493E+01    0.29725E-01    0.41416E-07
   285    0.45573E+04    0.10910E+03    0.66043E+01    0.29895E-01    0.41253E-07
   286    0.45259E+04    0.10994E+03    0.67610E+01    0.30063E-01    0.41091E-07
   287    0.44943E+04    0.11076E+03    0.69194E+01    0.30232E-01    0.40930E-07
   288    0.44625E+04    0.11154E+03    0.70795E+01    0.30399E-01    0.40770E-07
   289    0.44304E+04    0.11229E+03    0.72413E+01    0.30566E-01    0.40611E-07
   290    0.43983E+04    0.11301E+03    0.74045E+01    0.30733E-01    0.40454E-07
   291    0.43659E+04    0.11369E+03    0.75699E+01    0.30898E-01    0.40297E-07
   292    0.43332E+04    0.11434E+03    0.77365E+01    0.31063E-01    0.40141E-07
   293    0.43005E+04    0.11495E+03    0.79038E+01    0.31228E-01    0.39986E-07
   294    0.42676E+04    0.11553E+03    0.80734E+01    0.31391E-01    0.39832E-07
   295    0.42348E+04    0.11607E+03    0.82436E+01    0.31554E-01    0.39678E-07
   296    0.42016E+04    0.11658E+03    0.84161E+01    0.31716E-01    0.39526E-07
   297    0.41684E+04    0.11707E+03    0.85886E+01    0.31878E-01    0.39375E-07
   298    0.41349E+04    0.11750E+03    0.87634E+01    0.32038E-01    0.39224E-07
   299    0.41015E+04    0.11790E+03    0.89396E+01    0.32199E-01    0.39075E-07
   300    0.40679E+04    0.11826E+03    0.91158E+01    0.32358E-01    0.38926E-07
   301    0.40342E+04    0.11859E+03    0.92935E+01    0.32517E-01    0.38778E-07
   302    0.40006E+04    0.11889E+03    0.94719E+01    0.32674E-01    0.38631E-07
   303    0.39668E+04    0.11914E+03    0.96519E+01    0.32832E-01    0.38485E-07
   304    0.39330E+04    0.11935E+03    0.98333E+01    0.32988E-01    0.38340E-07
   305    0.38992E+04    0.11953E+03    0.10015E+02    0.33144E-01    0.38195E-07
   306    0.38653E+04    0.11967E+03    0.10197E+02    0.33299E-01    0.38052E-07
   307    0.38314E+04    0.11977E+03    0.10380E+02    0.33453E-01    0.37909E-07
   308    0.37975E+04    0.11984E+03    0.10565E+02    0.33607E-01    0.37767E-07
   309    0.37637E+04    0.11986E+03    0.10749E+02    0.33760E-01    0.37626E-07
   310    0.37298E+04    0.11986E+03    0.10933E+02    0.33912E-01    0.37485E-07
   311    0.36960E+04    0.11980E+03    0.11120E+02    0.34063E-01    0.37346E-07
   312    0.36623E+04    0.11972E+03    0.11306E+02    0.34214E-01    0.37207E-07
   313    0.36285E+04    0.11959E+03    0.11492E+02    0.34364E-01    0.37069E-07
   314    0.35949E+04    0.11943E+03    0.11679E+02    0.34513E-01    0.36932E-07
   315    0.35613E+04    0.11923E+03    0.11866E+02    0.34661E-01    0.36795E-07
   316    0.35278E+04    0.11899E+03    0.12053E+02    0.34809E-01    0.36659E-07
   317    0.34944E+04    0.11871E+03    0.12239E+02    0.34956E-01    0.36525E-07
   318    0.34610E+04    0.11839E+03    0.12427E+02    0.35102E-01    0.36390E-07
   319    0.34278E+04    0.11804E+03    0.12614E+02    0.35248E-01    0.36257E-07
   320    0.33948E+04    0.11766E+03    0.12802E+02    0.35393E-01    0.36124E-07
   321    0.33618E+04    0.11723E+03    0.12989E+02    0.35537E-01    0.35992E-07
   322    0.33290E+04    0.11676E+03    0.13176E+02    0.35680E-01    0.35861E-07
