CID,IDSURVEY,zCMB,zHD,zHEL,MU,MUERR_FINAL
1251975,10,0.44647,0.44647,0.44765,41.8950,0.1520
1252142,10,0.55288,0.55288,0.55345,42.5418,0.1411
1252183,10,0.97242,0.97242,0.97319,44.1572,0.1627
1252199,10,0.60498,0.60498,0.60560,42.6863,0.1905
1252225,10,0.51956,0.51956,0.52014,43.0787,170.5973
1252237,10,0.88580,0.88580,0.88655,43.8139,0.5434
1252313,10,0.59692,0.59692,0.59808,42.7062,0.1335
1252364,10,0.54134,0.54134,0.54251,42.3056,0.1827
1252513,10,0.47767,0.47767,0.47821,42.3635,0.1867
1252521,10,0.43322,0.43322,0.43376,41.9047,0.1437
1252595,10,0.81330,0.81330,0.81400,43.7753,0.2951
1252620,10,0.95299,0.95299,0.95453,43.7132,0.1931
1252665,10,0.97489,0.97489,0.97567,44.1896,0.1992
1252671,10,0.98536,0.98536,0.98614,43.8586,0.1306
1252751,10,0.56059,0.56059,0.56173,42.4601,0.1280
1252810,10,0.58026,0.58026,0.58140,42.6325,0.1444
1252829,10,0.45168,0.45168,0.45288,41.7507,0.1353
1252917,10,0.69277,0.69277,0.69410,43.1710,0.2294
1252918,10,0.83583,0.83583,0.83727,43.7263,0.1658
1252926,10,0.92427,0.92427,0.92582,43.5635,0.1461
1252939,10,0.66666,0.66666,0.66800,42.8687,0.1444
1252970,10,0.46198,0.46198,0.46250,42.1247,0.1698
1253046,10,0.50134,0.50134,0.50192,42.2910,0.1132
1253101,10,0.45332,0.45332,0.45440,41.8836,0.1725
1253119,10,0.31916,0.31915,0.32010,41.1241,0.1377
1253131,10,0.40349,0.40349,0.40448,42.0827,0.3062
1253148,10,0.43868,0.43868,0.43972,42.0601,0.2112
1253180,10,0.46154,0.46154,0.46210,41.9825,0.1404
1253243,10,0.57729,0.57729,0.57842,42.6576,0.1820
1253324,10,0.16945,0.16945,0.17026,40.8158,257.7207
1253358,10,0.71380,0.71380,0.71506,43.3358,0.1642
1253406,10,0.36131,0.36131,0.36229,41.5774,0.2054
1253474,10,0.44670,0.44670,0.44790,41.8351,0.1200
1253475,10,0.45412,0.45412,0.45532,42.2020,0.2086
1253572,10,0.51969,0.51969,0.52092,42.4078,0.2362
1253816,10,0.90824,0.90824,0.90975,44.0508,0.1927
1253857,10,0.85652,0.85652,0.85800,43.6741,0.2434
1253871,10,0.84780,0.84780,0.84930,44.0342,0.3386
1253895,10,0.49276,0.49276,0.49331,41.9132,0.1372
1253920,10,0.19555,0.19555,0.19599,39.7520,0.1027
1253972,10,0.84019,0.84019,0.84090,43.2586,224.7607
1253997,10,0.59079,0.59079,0.59134,42.5919,0.1563
1254000,10,0.53300,0.53300,0.53356,42.8136,0.2211
1254002,10,0.53591,0.53591,0.53644,42.4175,0.1551
1254051,10,0.76150,0.76150,0.76214,43.5968,0.1643
1254070,10,0.49252,0.49252,0.49305,42.1722,0.1332
1254108,10,0.96689,0.96689,0.96764,44.1300,0.1876
1254150,10,0.70417,0.70417,0.70484,43.0650,0.1606
1254299,10,0.49500,0.49500,0.49625,42.1559,0.1555
1254356,10,0.35129,0.35129,0.35238,41.4806,0.1334
1254566,10,0.79118,0.79118,0.79259,43.6354,0.2030
1254670,10,0.50495,0.50495,0.50550,41.8933,0.1461
1254671,10,0.47065,0.47065,0.47119,42.1905,0.2038
1254762,10,0.39827,0.39827,0.39875,41.7911,0.2692
1254889,10,0.60551,0.60551,0.60613,42.8077,0.1475
1255008,10,0.44380,0.44380,0.44489,41.8077,0.1833
1255130,10,0.62411,0.62411,0.62529,42.9882,0.1648
1255139,10,0.64989,0.64989,0.65054,42.9365,0.2046
1255142,10,0.57675,0.57675,0.57790,42.5695,0.1643
1255169,10,1.04680,1.04680,1.04763,43.8593,0.1483
1255312,10,0.35561,0.35561,0.35658,41.3064,0.1413
1255382,10,0.58055,0.58055,0.58171,42.5281,0.1726
1255399,10,0.38137,0.38137,0.38239,41.4820,0.1908
1255412,10,0.37202,0.37202,0.37303,41.6954,0.1543
1255423,10,0.66681,0.66681,0.66801,42.7643,0.1198
1255470,10,0.46877,0.46877,0.46997,42.0774,0.1546
1255487,10,0.45012,0.45012,0.45131,41.9104,0.2121
1255523,10,0.55536,0.55536,0.55665,42.6046,0.1913
1255545,10,0.60182,0.60182,0.60314,42.5522,0.1384
1255576,10,0.28010,0.28010,0.28112,40.8037,0.1104
1255657,10,0.58881,0.58881,0.59011,43.0539,0.2486
1255730,10,0.69107,0.69107,0.69242,43.4982,0.3638
1255735,10,0.36463,0.36463,0.36573,41.3256,0.2000
1255737,10,0.91896,0.91896,0.92049,44.0256,0.2740
1255824,10,0.81852,0.81852,0.82000,43.4751,0.2245
1255974,10,0.34311,0.34311,0.34358,41.2151,0.1944
1256028,10,0.95521,0.95521,0.95596,43.9062,0.2197
1256332,10,0.47803,0.47803,0.47919,42.0957,0.1360
1256335,10,0.61939,0.61939,0.62070,42.8847,0.1769
1256426,10,0.33226,0.33226,0.33273,40.2710,185.2355
1256432,10,0.51130,0.51130,0.51183,42.2034,0.1306
1256505,10,0.55626,0.55626,0.55738,42.4169,0.1280
1256570,10,0.34548,0.34548,0.34601,41.3581,0.1122
1256596,10,0.68138,0.68138,0.68203,43.1657,0.1732
1256680,10,0.29438,0.29438,0.29546,41.0736,0.1816
1256701,10,0.43629,0.43629,0.43749,42.2472,0.2308
1256764,10,0.55650,0.55649,0.55774,42.3113,0.1495
1256765,10,0.35267,0.35267,0.35377,41.9941,15.4682
1256807,10,0.61943,0.61943,0.62074,42.6177,0.2308
1256817,10,0.47982,0.47982,0.48100,41.9718,0.1545
1256819,10,0.58576,0.58576,0.58701,42.6951,0.1753
1256823,10,0.44084,0.44084,0.44199,41.9277,0.1079
1256933,10,0.35284,0.35284,0.35332,41.4972,0.1601
1257016,10,0.33743,0.33743,0.33840,41.1332,0.1758
1257022,10,0.38684,0.38683,0.38786,41.6090,0.1359
1257040,10,0.35177,0.35177,0.35277,41.2499,0.1165
1257102,10,0.47330,0.47330,0.47434,42.0584,0.1597
1257112,10,0.37001,0.37001,0.37099,41.3201,172.2755
1257129,10,0.58817,0.58817,0.58932,42.4801,0.1700
1257144,10,0.52560,0.52559,0.52670,42.4068,0.1933
1257216,10,0.65434,0.65434,0.65557,42.9527,0.1309
1257228,10,1.02433,1.02433,1.02514,43.9335,172.6372
1257335,10,0.48410,0.48410,0.48464,42.3096,0.1721
1257356,10,0.33257,0.33257,0.33307,41.0836,0.1270
1257366,10,0.21136,0.21136,0.21182,40.1145,0.1660
1257419,10,0.40361,0.40361,0.40412,41.7010,0.1609
1257496,10,0.59401,0.59401,0.59458,42.3694,0.2308
1257533,10,0.22953,0.22953,0.23003,40.0575,0.1105
1257602,10,0.52211,0.52211,0.52271,42.3563,0.1270
1257605,10,0.74535,0.74535,0.74605,43.1594,0.1789
1257609,10,0.33389,0.33389,0.33440,41.0423,0.2046
1257646,10,0.84094,0.84094,0.84169,43.5610,0.2565
1257695,10,0.18383,0.18383,0.18472,39.7886,0.0939
1257775,10,0.47598,0.47598,0.47654,42.1705,0.2238
1257839,10,0.64421,0.64421,0.64538,42.8967,0.1647
1257905,10,0.61393,0.61393,0.61509,42.7113,0.1531
1257934,10,0.29648,0.29648,0.29739,40.8458,0.1298
1258061,10,0.45831,0.45831,0.45939,42.1187,0.1626
1258090,10,0.36656,0.36656,0.36757,41.4013,0.1242
1258118,10,0.62518,0.62518,0.62638,42.8835,0.1683
1258191,10,0.51689,0.51690,0.51814,42.5448,0.2008
1258249,10,0.62104,0.62104,0.62237,42.9111,0.1852
1258289,10,0.50509,0.50509,0.50629,42.3312,0.1877
1258309,10,0.47616,0.47616,0.47736,41.9875,0.1771
1258330,10,0.52473,0.52473,0.52595,42.1302,0.1682
1258422,10,0.52105,0.52105,0.52227,42.3656,0.2016
1258433,10,0.61445,0.61445,0.61572,43.0487,0.2438
1258500,10,0.49383,0.49383,0.49502,42.0261,0.1921
1258529,10,0.82394,0.82394,0.82542,43.7940,0.2506
1258591,10,0.59750,0.59750,0.59880,42.4782,0.2418
1258802,10,0.54947,0.54947,0.55063,42.3459,0.1642
1258906,10,0.34918,0.34918,0.35013,41.3692,0.1552
1258940,10,0.42593,0.42593,0.42694,41.8274,0.1285
1259006,10,0.52790,0.52790,0.52913,42.3011,0.1992
1259246,10,0.22284,0.22284,0.22330,40.0820,0.1701
1259330,10,0.60243,0.60243,0.60357,42.8935,0.2190
1259352,10,0.21986,0.21986,0.22034,39.9721,0.1583
1259412,10,0.30477,0.30477,0.30581,40.9722,0.1086
1259500,10,0.56161,0.56161,0.56288,42.3576,0.1464
1259511,10,0.32710,0.32710,0.32816,41.2275,0.0913
1259538,10,0.51244,0.51244,0.51363,42.3698,0.1431
1259561,10,0.56751,0.56751,0.56882,42.4527,0.1336
1259585,10,0.56401,0.56401,0.56530,42.6607,0.1553
1259615,10,0.32008,0.32008,0.32116,41.0766,0.1611
1259667,10,0.65871,0.65871,0.65939,43.2686,0.2009
1259771,10,0.53232,0.53232,0.53341,42.3311,0.1646
1260000,10,0.55060,0.55060,0.55172,42.7092,0.1764
1260030,10,0.45811,0.45811,0.45918,41.9397,0.1416
1260050,10,0.27279,0.27278,0.27372,40.6647,0.1081
1260058,10,0.38948,0.38948,0.39050,41.1509,0.1936
1260105,10,0.69410,0.69410,0.69550,43.0773,0.1368
1260107,10,0.42982,0.42982,0.43100,41.8060,0.2459
1260113,10,0.35469,0.35469,0.35583,41.2955,0.2203
1260159,10,0.43034,0.43034,0.43153,41.9365,0.2068
1260241,10,0.33336,0.33336,0.33442,41.2026,0.1217
1260427,10,0.81750,0.81750,0.81895,43.4706,0.1540
1260459,10,0.85674,0.85674,0.85824,43.3903,0.1759
1260461,10,0.85855,0.85855,0.86005,43.6566,0.2353
1260463,10,0.62024,0.62023,0.62154,42.8792,0.2124
1260522,10,0.74133,0.74133,0.74274,43.3982,0.1709
1260551,10,0.55236,0.55236,0.55292,42.2512,0.1541
1260556,10,0.27437,0.27437,0.27487,40.7403,0.1707
1260568,10,0.53806,0.53805,0.53864,42.4295,0.2034
1260605,10,0.55534,0.55534,0.55594,42.4185,0.1453
1260639,10,0.59141,0.59141,0.59196,42.5678,0.2241
1260645,10,0.67405,0.67405,0.67462,43.0399,0.1650
1260889,10,0.52885,0.52885,0.52993,42.4106,0.1600
1260949,10,0.41568,0.41568,0.41670,41.6610,0.1547
1260954,10,0.69873,0.69873,0.69994,43.0747,0.1600
1261144,10,0.61069,0.61069,0.61126,42.7008,0.1649
1261163,10,0.61854,0.61854,0.61917,42.7152,0.2911
1261173,10,0.47377,0.47377,0.47431,42.1430,0.1897
1261191,10,0.66147,0.66147,0.66212,42.9267,0.1387
1261193,10,0.19246,0.19246,0.19293,39.9331,0.1887
1261233,10,0.53166,0.53166,0.53225,42.3417,0.1387
1261236,10,0.59789,0.59789,0.59850,42.4576,0.2049
1261259,10,0.52723,0.52723,0.52786,42.3711,0.1225
1261456,10,0.62162,0.62162,0.62298,42.8978,0.1529
1261503,10,0.35211,0.35211,0.35321,41.1448,0.1317
1261579,10,0.32214,0.32214,0.32320,40.9742,0.1132
1261587,10,0.65387,0.65387,0.65455,42.8388,0.1606
1261784,10,0.26523,0.26523,0.26572,40.8743,0.2063
1261963,10,0.27963,0.27963,0.28053,40.8866,0.2119
1262016,10,0.46694,0.46694,0.46812,42.0434,0.1236
1262055,10,0.58072,0.58072,0.58130,42.7608,0.1876
1262084,10,0.45360,0.45360,0.45416,42.1695,0.1665
1262128,10,0.11323,0.11323,0.11365,39.0697,0.7632
1262131,10,0.33802,0.33802,0.33852,41.1919,0.1137
1262135,10,0.38328,0.38328,0.38378,41.5092,0.1312
1262163,10,0.33520,0.33520,0.33566,42.1620,5.3230
1262181,10,0.46949,0.46949,0.47001,42.5100,0.2578
1262232,10,0.26103,0.26103,0.26151,41.0566,2.3192
1262252,10,0.45294,0.45294,0.45401,41.9758,0.1851
1262267,10,0.56215,0.56215,0.56332,42.1856,0.2118
1262550,10,0.29209,0.29209,0.29304,40.8536,0.1109
1262573,10,0.23747,0.23747,0.23837,40.4289,0.1419
1262588,10,0.40644,0.40644,0.40759,41.8844,0.3265
1262726,10,0.25378,0.25378,0.25478,40.2737,0.1442
1262736,10,0.52929,0.52929,0.53050,42.2750,0.1803
1262746,10,0.23079,0.23079,0.23176,40.3090,0.1382
1262803,10,0.61343,0.61343,0.61470,43.0689,0.2136
1262895,10,0.70548,0.70548,0.70615,42.9813,0.2449
1262899,10,0.77692,0.77692,0.77759,43.0528,331.7325
1263039,10,0.65514,0.65514,0.65650,42.9161,0.1656
1263062,10,0.50827,0.50827,0.50950,42.0564,0.1302
1263090,10,0.65206,0.65206,0.65341,42.7438,0.1453
1263125,10,1.02868,1.02868,1.02947,44.1989,0.1779
1263130,10,0.68017,0.68017,0.68084,42.8140,0.2143
1263139,10,0.72737,0.72737,0.72801,43.3653,0.1664
1263197,10,0.33778,0.33778,0.33826,41.0213,0.1495
1263244,10,0.45799,0.45799,0.45902,42.4863,0.3065
1263369,10,0.31251,0.31251,0.31343,41.0799,0.1148
1263580,10,0.58276,0.58276,0.58393,42.6372,0.2154
1263715,10,0.29185,0.29185,0.29279,40.8492,0.1241
1263785,10,1.06420,1.06420,1.06498,44.1596,0.1598
1263788,10,0.75729,0.75729,0.75796,43.4259,0.4507
1263829,10,0.50070,0.50070,0.50128,42.3163,0.1978
1263852,10,0.66083,0.66083,0.66144,43.0246,0.2038
1263856,10,0.69783,0.69783,0.69849,43.3530,0.2190
1263930,10,0.43578,0.43578,0.43631,42.0993,0.2407
1263936,10,0.49523,0.49523,0.49575,42.2009,0.2156
1264038,10,0.66362,0.66362,0.66425,42.8608,0.1657
1264039,10,0.42460,0.42460,0.42517,42.0414,0.1190
1264049,10,0.54397,0.54397,0.54508,42.2074,0.1414
1264068,10,0.33054,0.33054,0.33147,41.3308,0.1336
1264077,10,0.56459,0.56459,0.56572,42.8556,0.2106
1264106,10,0.42749,0.42749,0.42850,41.5519,1.1983
1264375,10,0.49572,0.49572,0.49690,42.2782,0.2281
1264434,10,0.31075,0.31075,0.31179,40.8746,0.1398
1264499,10,0.44841,0.44841,0.44958,41.6600,0.1841
1264512,10,0.36027,0.36027,0.36136,41.3354,0.1403
1264606,10,0.68110,0.68110,0.68176,42.9215,0.1690
1264631,10,0.55299,0.55299,0.55424,42.1721,0.1747
1264689,10,0.73162,0.73162,0.73303,43.2327,0.2173
1264948,10,0.50394,0.50394,0.50502,42.1735,0.1740
1264963,10,0.55214,0.55214,0.55325,42.6065,0.2201
1265011,10,0.34689,0.34689,0.34785,41.1132,0.1381
1265040,10,0.42981,0.42981,0.43100,41.4572,0.2086
1265089,10,0.44472,0.44472,0.44588,41.8635,0.1778
1265134,10,0.47304,0.47304,0.47362,41.9875,0.1786
1265136,10,1.05303,1.05303,1.05386,44.2966,0.1985
1265165,10,0.31752,0.31752,0.31845,41.2899,0.1269
1265169,10,0.68332,0.68332,0.68453,43.0277,0.1543
1265231,10,0.68397,0.68397,0.68533,42.9853,0.2451
1265260,10,0.60311,0.60311,0.60440,42.4900,0.2551
1265281,10,0.36021,0.36021,0.36131,41.5962,0.2559
1265349,10,0.79939,0.79939,0.80084,43.4355,0.2261
1265426,10,0.42029,0.42029,0.42080,41.9824,0.1673
1265623,10,0.70978,0.70978,0.71045,43.4205,0.1994
1265832,10,0.39876,0.39876,0.39978,41.8982,0.3428
1265990,10,0.58574,0.58574,0.58691,42.5994,0.1948
1266015,10,0.36160,0.36160,0.36259,41.4437,0.2152
1266255,10,0.29358,0.29358,0.29461,40.9757,0.1202
1266634,10,0.49820,0.49820,0.49927,42.3312,0.2297
1266808,10,0.32930,0.32930,0.33040,42.1274,177.0168
1266830,10,0.57039,0.57039,0.57170,42.4059,0.1740
1267094,10,0.62318,0.62318,0.62380,42.7798,0.0466
1271436,10,0.79511,0.79511,0.79583,43.3341,0.1623
1273127,10,0.18937,0.18937,0.19024,39.9615,0.1402
1275873,10,0.40188,0.40188,0.40288,41.5317,0.1916
1275946,10,0.23212,0.23212,0.23300,40.3565,0.1071
1276546,10,0.35329,0.35329,0.35428,41.5401,0.1362
1277173,10,0.14940,0.14940,0.15035,39.2893,0.0975
1277710,10,0.68179,0.68179,0.68245,43.0450,0.2107
1277715,10,0.34602,0.34601,0.34655,41.2938,0.1360
1277716,10,0.69313,0.69313,0.69377,43.0442,0.1998
1277945,10,0.43369,0.43369,0.43425,41.9614,0.1616
1277995,10,0.72199,0.72199,0.72265,42.8993,0.3072
1278493,10,0.27237,0.27237,0.27340,40.7101,0.1209
1278602,10,0.34799,0.34799,0.34896,41.4858,0.2051
1278747,10,0.32321,0.32321,0.32426,40.9118,0.2292
1279420,10,0.25692,0.25691,0.25736,40.4844,0.1554
1279488,10,0.49412,0.49412,0.49532,42.2039,0.2237
1279500,10,0.23470,0.23470,0.23568,40.3975,0.1202
1279501,10,0.56528,0.56527,0.56655,42.4454,0.1805
1279714,10,0.69938,0.69938,0.70074,43.5927,0.2794
1280135,10,0.77082,0.77082,0.77150,43.4997,0.1726
1280240,10,0.05962,0.05962,0.05999,37.3523,0.1374
1280332,10,0.49219,0.49219,0.49340,42.7013,0.3553
1280762,10,0.62617,0.62617,0.62682,43.1169,0.2308
1280780,10,0.68399,0.68399,0.68463,42.9619,0.2694
1280790,10,0.63211,0.63211,0.63278,42.8190,0.2114
1280792,10,0.68056,0.68056,0.68123,42.7794,0.2554
1280807,10,0.73899,0.73899,0.73965,43.3168,0.2079
1281119,10,0.19902,0.19902,0.19947,39.9821,0.1956
1281135,10,0.65195,0.65195,0.65254,42.5141,0.1354
1281668,10,0.30697,0.30697,0.30791,41.0115,0.1129
1281691,10,0.57821,0.57821,0.57935,42.7633,0.1788
1281879,10,0.50547,0.50547,0.50657,42.2005,0.1918
1281886,10,0.38393,0.38393,0.38493,41.4986,0.1686
1282018,10,0.42376,0.42376,0.42480,41.6877,0.1593
1282114,10,0.21781,0.21781,0.21881,40.3022,0.1457
1282463,10,0.64685,0.64685,0.64804,42.8506,0.1637
1282736,10,0.37797,0.37797,0.37908,41.4595,0.1696
1282966,10,0.58012,0.58012,0.58072,42.5347,0.1689
1283272,10,0.38353,0.38353,0.38405,41.4520,0.2270
1283373,10,0.20753,0.20753,0.20797,40.1748,0.1012
1283855,10,0.56536,0.56536,0.56651,42.3917,0.1713
1283878,10,0.31286,0.31286,0.31390,41.1292,0.1184
1283923,10,0.14631,0.14631,0.14715,39.4609,0.1699
1283924,10,0.54888,0.54888,0.54998,42.4030,219.9254
1283936,10,0.36862,0.36862,0.36960,41.5430,0.2311
1284567,10,0.65483,0.65483,0.65602,42.8146,0.1554
1284601,10,0.40512,0.40512,0.40563,41.7484,0.1409
1285317,10,0.56441,0.56441,0.56555,42.4416,0.1504
1285539,10,0.48417,0.48417,0.48469,42.3887,0.3686
1286337,10,0.66296,0.66296,0.66422,42.7595,0.1943
1286881,10,0.52280,0.52280,0.52334,42.3697,0.1385
1287437,10,0.33681,0.33681,0.33727,41.4118,0.2077
1287883,10,0.65718,0.65718,0.65842,42.8070,0.1863
1288083,10,0.23048,0.23048,0.23147,40.2144,0.1304
1289288,10,0.29001,0.29001,0.29093,40.8474,0.1702
1289306,10,0.54268,0.54268,0.54380,42.5670,0.1648
1289366,10,0.37769,0.37769,0.37869,42.0661,1.1497
1289470,10,0.61207,0.61207,0.61268,42.5428,0.2053
1289555,10,0.56173,0.56173,0.56289,42.3118,0.1518
1289600,10,0.41962,0.41962,0.42019,41.9066,0.1979
1289664,10,0.25907,0.25907,0.26000,40.2411,0.1334
1289714,10,0.53582,0.53582,0.53638,42.6863,0.1919
1289812,10,0.70875,0.70875,0.71009,43.4183,0.2142
1289913,10,0.38495,0.38495,0.38598,41.0344,0.1777
1289982,10,0.11621,0.11621,0.11665,41.4153,188.5074
1290007,10,0.43112,0.43112,0.43170,41.7775,0.2158
1290043,10,0.73488,0.73488,0.73556,43.2424,0.1893
1290176,10,0.79530,0.79530,0.79602,43.3569,0.2347
1290191,10,0.59506,0.59506,0.59567,42.3802,0.1949
1290323,10,0.59909,0.59909,0.59969,42.4098,0.2052
1290394,10,0.57153,0.57153,0.57271,42.4885,0.2112
1290593,10,0.67528,0.67528,0.67594,43.0985,0.2875
1290816,10,0.21847,0.21847,0.21892,40.3740,0.1398
1290948,10,0.53680,0.53680,0.53736,42.3279,0.1843
1290967,10,0.28110,0.28110,0.28158,40.4253,0.2597
1290995,10,0.54352,0.54351,0.54410,42.2857,0.1306
1291090,10,0.29199,0.29199,0.29292,40.8719,0.1153
1291143,10,0.47819,0.47819,0.47937,42.0383,0.2003
1291149,10,0.23057,0.23057,0.23156,42.3377,239.4149
1291155,10,0.51089,0.51089,0.51213,42.0253,0.1465
1291159,10,0.53976,0.53976,0.54102,42.4047,0.2013
1291242,10,0.27905,0.27905,0.28008,40.9033,0.2070
1291254,10,0.35021,0.35021,0.35116,41.2415,0.2467
1291346,10,0.29770,0.29770,0.29876,40.7045,0.1403
1291408,10,0.34721,0.34721,0.34818,41.1346,0.1501
1291511,10,0.37228,0.37228,0.37325,41.2427,0.1674
1291580,10,0.31268,0.31268,0.31315,41.6168,221.2396
1291733,10,0.54784,0.54784,0.54895,42.0456,0.4182
1291783,10,0.39821,0.39821,0.39922,41.8191,0.1720
1291788,10,0.38400,0.38400,0.38450,41.7518,0.2541
1291794,10,0.39512,0.39512,0.39560,41.6591,0.1566
1291957,10,0.37143,0.37143,0.37244,41.4071,0.1357
1292033,10,0.32472,0.32472,0.32565,41.2352,0.1467
1292040,10,0.16897,0.16897,0.16979,40.4502,137.1700
1292145,10,0.49245,0.49245,0.49300,42.4130,0.2423
1292227,10,0.29186,0.29185,0.29279,40.7897,0.1595
1292332,10,0.27265,0.27265,0.27358,40.6888,0.1075
1292336,10,0.23355,0.23355,0.23446,40.2530,0.1619
1292560,10,0.22482,0.22482,0.22582,40.2604,0.1011
1292767,10,0.30893,0.30893,0.30996,40.9941,0.1572
1292823,10,0.34565,0.34565,0.34672,41.3178,0.1196
1292997,10,0.41447,0.41447,0.41562,41.7193,0.2145
1293006,10,0.50436,0.50436,0.50562,42.3172,0.2221
1293028,10,0.75366,0.75366,0.75509,43.2984,0.3295
1293046,10,0.60736,0.60736,0.60863,42.8580,0.2050
1293275,10,0.30179,0.30179,0.30283,41.8215,28.9924
1293319,10,0.29686,0.29686,0.29790,40.8982,0.1489
1293366,10,0.32040,0.32040,0.32145,41.2714,0.1504
1293465,10,0.49801,0.49801,0.49920,42.3299,0.3206
1293758,10,0.14812,0.14812,0.14896,39.3442,0.0930
1293783,10,0.32874,0.32874,0.32927,41.1511,0.1723
1293789,10,0.42857,0.42857,0.42914,41.8685,0.1245
1293832,10,0.81325,0.81325,0.81398,43.3334,0.1431
1293921,10,0.50492,0.50492,0.50552,42.2792,0.1232
1294137,10,0.47085,0.47085,0.47190,41.8283,0.2930
